Time,Klor,Turbidity_Measuredvalue,Turbidity_Cleanvalue,NO3_Neq_Measuredvalue,NO3_Neq_Cleanvalue,UV254t_Measuredvalue,UV254t_Cleanvalue,UV254f_Measuredvalue,UV254f_Cleanvalue,TOCeq_Measuredvalue,TOCeq_Cleanvalue,DOCeq_Measuredvalue,DOCeq_Cleanvalue,TrueColor_Measuredvalue,TrueColor_Cleanvalue,ApparantColor_Measuredvalue,ApparantColor_Cleanvalue,Conductivity_Measuredvalue,Conductivity_Cleanvalue,SpecificConductance_Result,Temperature_Measuredvalue,Temperature_Cleanvalue,pH_Measuredvalue,pH_Cleanvalue,Spec_Alarm_spec12150270_Alarm,MyPatternAlarm2_Alarm,pH_mV_Measuredvalue,pH_mV_Cleanvalue,Temperature2_Measuredvalue,Temperature2_Cleanvalue
03-Dec-2016T18:30:00.000Z,0.067942,3.91,3.89,0.25,0.25,17.56,17.57,7.67,7.65,7.32,7.32,3.08,3.07,22.99,22.82,82.34,82.26,165,165,239.9,8.7,8.7,8.16,8.16,1,0.08,69.2,69.2,10,10
03-Dec-2016T18:32:00.000Z,0.071937,3.91,3.89,0.25,0.25,17.56,17.57,7.67,7.65,7.32,7.32,3.08,3.07,22.99,22.82,82.34,82.26,165,165,239.9,8.7,8.7,8.16,8.16,1,0.08,69.2,69.2,10,10
03-Dec-2016T18:34:00.000Z,0.070964,3.95,3.9,0.25,0.25,17.6,17.57,7.68,7.66,7.33,7.32,3.08,3.07,22.89,22.82,82.47,82.27,165,165,239.89,8.7,8.7,8.16,8.16,1.12,0.07,69.2,69.2,10,10
03-Dec-2016T18:36:00.000Z,0.070719,3.93,3.91,0.25,0.25,17.58,17.57,7.66,7.66,7.33,7.32,3.08,3.08,22.82,22.82,82.34,82.28,165,165,239.87,8.7,8.7,8.16,8.16,0.87,0.08,69.2,69.2,10,10
03-Dec-2016T18:38:00.000Z,0.06696,3.83,3.91,0.25,0.25,17.56,17.57,7.65,7.66,7.32,7.32,3.07,3.08,22.87,22.83,82.15,82.29,165,165,239.86,8.7,8.7,8.16,8.16,0.9,0.08,69.2,69.2,10,10
03-Dec-2016T18:40:00.000Z,0.068442,3.88,3.91,0.25,0.25,17.56,17.57,7.67,7.66,7.32,7.32,3.07,3.08,22.73,22.83,82.06,82.28,165,165,239.87,8.7,8.7,8.16,8.16,0.97,0.07,69.2,69.2,10,10
03-Dec-2016T18:42:00.000Z,0.075415,3.89,3.91,0.25,0.25,17.57,17.57,7.66,7.66,7.32,7.32,3.07,3.08,22.82,22.83,82.26,82.27,165,165,239.87,8.8,8.7,8.16,8.16,0.83,0.07,69.2,69.2,10,10
03-Dec-2016T18:44:00.000Z,0.072202,3.87,3.9,0.26,0.25,17.57,17.57,7.67,7.66,7.32,7.32,3.08,3.08,22.92,22.83,82.27,82.27,165,165,239.86,8.8,8.7,8.16,8.16,0.87,0.07,69.2,69.2,10,10
03-Dec-2016T18:46:00.000Z,0.065343,3.85,3.9,0.25,0.25,17.55,17.57,7.65,7.66,7.31,7.32,3.07,3.07,22.75,22.84,82.03,82.27,165,165,239.86,8.8,8.7,8.16,8.16,1.05,0.07,69.1,69.2,10,10
03-Dec-2016T18:48:00.000Z,0.06696,3.89,3.89,0.25,0.25,17.55,17.57,7.68,7.66,7.31,7.32,3.08,3.07,22.83,22.85,82.07,82.26,165,165,239.84,8.8,8.7,8.16,8.16,1,0.06,69.1,69.2,10,10
03-Dec-2016T18:50:00.000Z,0.069607,3.91,3.88,0.25,0.25,17.59,17.57,7.65,7.66,7.33,7.32,3.07,3.07,22.83,22.85,82.44,82.25,165,165,239.83,8.8,8.8,8.16,8.16,0.94,0.06,69.1,69.2,10,10
03-Dec-2016T18:52:00.000Z,0.068601,3.86,3.88,0.26,0.25,17.58,17.57,7.66,7.66,7.32,7.32,3.07,3.07,22.83,22.84,82.21,82.24,166,165,239.81,8.8,8.8,8.16,8.16,1.19,0.05,69.1,69.1,10.1,10
03-Dec-2016T18:54:00.000Z,0.067542,3.97,3.89,0.26,0.25,17.55,17.57,7.66,7.66,7.32,7.32,3.08,3.07,22.76,22.84,82.27,82.23,165,165,239.79,8.8,8.8,8.16,8.16,1.1,0.06,69.1,69.1,10.1,10
03-Dec-2016T18:56:00.000Z,0.068866,3.92,3.9,0.24,0.25,17.57,17.57,7.65,7.66,7.32,7.32,3.07,3.07,22.89,22.84,82.4,82.23,165,165,239.73,8.8,8.8,8.15,8.16,1.05,0.08,69,69.1,10.1,10
03-Dec-2016T18:58:00.000Z,0.06696,3.93,3.91,0.25,0.25,17.56,17.57,7.64,7.66,7.32,7.32,3.07,3.07,22.77,22.84,82.33,82.23,165,165,239.67,8.8,8.8,8.15,8.16,0.88,0.06,69,69.1,10.1,10.1
03-Dec-2016T19:00:00.000Z,0.070121,3.88,3.91,0.26,0.25,17.58,17.57,7.61,7.66,7.33,7.32,3.06,3.07,22.65,22.83,82.33,82.23,165,165,239.58,8.8,8.8,8.15,8.16,1.1,0.04,69,69,10.1,10.1
03-Dec-2016T19:02:00.000Z,0.067457,3.86,3.91,0.24,0.25,17.56,17.57,7.63,7.66,7.32,7.32,3.07,3.07,22.76,22.82,82.17,82.23,165,165,239.54,8.9,8.8,8.15,8.16,0.93,0.03,69,69,10.1,10.1
03-Dec-2016T19:04:00.000Z,0.071391,3.95,3.9,0.25,0.25,17.57,17.57,7.65,7.65,7.32,7.32,3.07,3.07,22.75,22.81,82.33,82.23,165,165,239.42,8.9,8.8,8.15,8.16,1.18,0.04,68.9,69,10.2,10.1
03-Dec-2016T19:06:00.000Z,0.070251,3.93,3.91,0.26,0.25,17.57,17.57,7.66,7.65,7.32,7.32,3.07,3.07,22.89,22.8,82.4,82.25,165,165,239.28,8.9,8.8,8.15,8.15,1.01,0.04,69,69,10.2,10.1
03-Dec-2016T19:08:00.000Z,0.069563,3.95,3.91,0.24,0.25,17.56,17.57,7.65,7.65,7.32,7.32,3.07,3.07,22.71,22.8,82.25,82.26,165,165,239.14,8.9,8.9,8.15,8.15,0.95,0.06,69,69,10.2,10.1
03-Dec-2016T19:10:00.000Z,0.066663,3.93,3.91,0.25,0.25,17.56,17.57,7.67,7.65,7.32,7.32,3.08,3.07,22.91,22.8,82.31,82.26,165,165,239.03,8.9,8.9,8.15,8.15,0.93,0.05,69,69,10.2,10.2
03-Dec-2016T19:12:00.000Z,0.06898,3.84,3.92,0.25,0.25,17.57,17.57,7.63,7.65,7.32,7.32,3.06,3.07,22.63,22.79,82.09,82.26,165,165,238.93,8.9,8.9,8.15,8.15,0.85,0.05,69,69,10.2,10.2
03-Dec-2016T19:14:00.000Z,0.065233,3.88,3.93,0.25,0.25,17.56,17.57,7.64,7.65,7.32,7.32,3.07,3.07,22.73,22.79,82.22,82.27,165,165,238.79,8.9,8.9,8.15,8.15,0.87,0.05,68.9,69,10.2,10.2
03-Dec-2016T19:16:00.000Z,0.067217,3.9,3.92,0.26,0.25,17.59,17.57,7.65,7.65,7.33,7.32,3.07,3.07,22.8,22.78,82.39,82.29,165,165,238.76,9,8.9,8.15,8.15,0.77,0.05,69,69,10.2,10.2
03-Dec-2016T19:18:00.000Z,0.069644,3.91,3.91,0.25,0.25,17.59,17.57,7.66,7.65,7.33,7.32,3.07,3.07,22.76,22.77,82.26,82.29,165,165,238.67,9,8.9,8.15,8.15,1.02,0.07,68.9,69,10.2,10.2
03-Dec-2016T19:20:00.000Z,0.064598,3.86,3.9,0.25,0.25,17.56,17.57,7.67,7.65,7.32,7.32,3.08,3.07,22.91,22.77,82.2,82.29,165,165,238.62,9,8.9,8.15,8.15,0.77,0.07,68.9,69,10.2,10.2
03-Dec-2016T19:22:00.000Z,0.069892,3.88,3.89,0.24,0.25,17.56,17.57,7.63,7.65,7.32,7.32,3.06,3.07,22.76,22.77,82.26,82.29,165,165,238.53,9,9,8.15,8.15,0.78,0.08,68.9,68.9,10.3,10.2
03-Dec-2016T19:24:00.000Z,0.067563,3.89,3.89,0.26,0.25,17.53,17.57,7.66,7.65,7.31,7.32,3.08,3.07,22.78,22.77,82.01,82.28,165,165,238.42,9,9,8.15,8.15,0.9,0.12,68.9,68.9,10.3,10.2
03-Dec-2016T19:26:00.000Z,0.068463,3.96,3.89,0.25,0.25,17.58,17.57,7.67,7.65,7.32,7.32,3.08,3.07,22.88,22.77,82.42,82.27,165,165,238.33,9,9,8.15,8.15,0.98,0.14,68.9,68.9,10.3,10.2
03-Dec-2016T19:28:00.000Z,0.069257,3.9,3.89,0.26,0.25,17.58,17.57,7.66,7.65,7.33,7.32,3.07,3.07,22.89,22.78,82.38,82.28,165,165,238.23,9.1,9,8.15,8.15,0.9,0.16,69,68.9,10.3,10.3
03-Dec-2016T19:30:00.000Z,0.064406,3.88,3.89,0.25,0.25,17.56,17.57,7.67,7.65,7.32,7.32,3.08,3.08,22.8,22.79,82.11,82.28,165,165,238.07,9.1,9,8.15,8.15,0.89,0.18,68.9,68.9,10.3,10.3
03-Dec-2016T19:32:00.000Z,0.070544,3.85,3.89,0.26,0.25,17.56,17.57,7.65,7.66,7.32,7.32,3.07,3.08,22.8,22.79,82.15,82.27,165,165,238,9.1,9,8.15,8.15,0.96,0.19,68.9,68.9,10.3,10.3
03-Dec-2016T19:34:00.000Z,0.071848,3.89,3.89,0.26,0.25,17.58,17.57,7.66,7.66,7.33,7.32,3.08,3.08,22.91,22.79,82.39,82.25,165,165,237.88,9.1,9,8.15,8.15,1.13,0.21,68.9,68.9,10.4,10.3
